,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,4.6,0.0,9.3,-0.1,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,242.2,233.0,246.9,237.5,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,92.5,88.0,97.2,87.8,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,40.2,40.0,44.9,35.5,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,23.5,26.0,28.2,18.7,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,-3.6,9.0,1.1,-8.3,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,6.5,7.0,11.2,1.8,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,7.3,8.0,12.0,2.6,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,3.2,3.0,7.9,-1.6,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,2.9,3.0,7.6,-1.9,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,10.4,10.0,15.1,5.7,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,3.5,1.0,8.2,-1.3,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,17.8,16.0,22.6,13.1,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,6.9,6.0,11.6,2.2,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,2.5,3.0,7.2,-2.2,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-0.8,1.0,3.9,-5.5,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,9.8,0.0,14.6,5.1,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-0.3,1.0,4.4,-5.1,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-2.8,0.0,2.0,-7.5,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,-6.8,0.0,-2.0,-11.5,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,11.2,0.0,16.0,6.5,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-4.5,0.0,0.2,-9.3,4.7,0,,,,,
22,Widowed,$-9k-$-1k,-6.5,0.0,-1.8,-11.2,4.7,0,,,,,
23,Widowed,$0k-$49k,40.3,43.0,45.0,35.6,4.7,0,,,,,
24,Widowed,$50k-$99k,10.2,11.0,14.9,5.5,4.7,0,,,,,
25,Widowed,$100k-$149k,7.2,2.0,12.0,2.5,4.7,0,,,,,
26,Widowed,$150k-$199k,-0.2,1.0,4.5,-4.9,4.7,0,,,,,
27,Widowed,$200k-$249k,12.6,1.0,17.3,7.9,4.7,0,,,,,
28,Widowed,$250k-$299k,-9.5,0.0,-4.8,-14.2,4.7,0,,,,,
29,Widowed,$300k-$349k,0.8,2.0,5.5,-3.9,4.7,0,,,,,
