,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",5.2,4.0,9.9,0.5,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",2.0,2.0,6.8,-2.7,4.7,0,,,,,
2,15-24,Widowed,4.7,0.0,9.4,0.0,4.7,0,,,,,
3,15-24,Divorced,-3.4,0.0,1.3,-8.1,4.7,0,,,,,
4,15-24,Separated,4.1,0.0,8.8,-0.7,4.7,0,,,,,
5,15-24,Never married,139.3,137.0,144.0,134.6,4.7,0,,,,,
6,25-34,"Now married, spouse present",59.4,47.0,64.1,54.7,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",3.8,6.0,8.5,-0.9,4.7,0,,,,,
8,25-34,Widowed,-9.6,0.0,-4.9,-14.3,4.7,0,,,,,
9,25-34,Divorced,3.1,2.0,7.8,-1.7,4.7,0,,,,,
10,25-34,Separated,5.0,1.0,9.7,0.2,4.7,0,,,,,
11,25-34,Never married,104.1,102.0,108.8,99.4,4.7,0,,,,,
12,35-44,"Now married, spouse present",79.0,84.0,83.7,74.3,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",6.3,8.0,11.0,1.6,4.7,0,,,,,
14,35-44,Widowed,1.6,0.0,6.3,-3.2,4.7,0,,,,,
15,35-44,Divorced,14.3,10.0,19.0,9.6,4.7,0,,,,,
16,35-44,Separated,3.9,7.0,8.6,-0.8,4.7,0,,,,,
17,35-44,Never married,44.3,43.0,49.0,39.5,4.7,0,,,,,
18,45-54,"Now married, spouse present",80.8,82.0,85.5,76.1,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",6.9,4.0,11.6,2.2,4.7,0,,,,,
20,45-54,Widowed,6.3,3.0,11.0,1.6,4.7,0,,,,,
21,45-54,Divorced,14.9,18.0,19.6,10.2,4.7,0,,,,,
22,45-54,Separated,14.6,7.0,19.4,9.9,4.7,0,,,,,
23,45-54,Never married,32.8,33.0,37.6,28.1,4.7,0,,,,,
24,55-64,"Now married, spouse present",89.1,92.0,93.8,84.4,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",10.2,7.0,14.9,5.5,4.7,0,,,,,
26,55-64,Widowed,6.5,8.0,11.2,1.8,4.7,0,,,,,
27,55-64,Divorced,23.2,25.0,27.9,18.5,4.7,0,,,,,
28,55-64,Separated,5.3,7.0,10.0,0.6,4.7,0,,,,,
29,55-64,Never married,28.6,25.0,33.3,23.8,4.7,0,,,,,
30,65-74,"Now married, spouse present",87.8,91.0,92.5,83.1,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",5.9,4.0,10.6,1.2,4.7,0,,,,,
32,65-74,Widowed,25.1,24.0,29.8,20.4,4.7,0,,,,,
33,65-74,Divorced,24.2,24.0,28.9,19.5,4.7,0,,,,,
34,65-74,Separated,1.5,1.0,6.2,-3.2,4.7,0,,,,,
35,65-74,Never married,4.7,17.0,9.4,-0.1,4.7,0,,,,,
36,75-84,"Now married, spouse present",20.2,20.0,25.0,15.5,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",-4.1,2.0,0.6,-8.9,4.7,0,,,,,
38,75-84,Widowed,3.0,15.0,7.7,-1.7,4.7,0,,,,,
39,75-84,Divorced,11.0,13.0,15.8,6.3,4.7,0,,,,,
40,75-84,Separated,17.5,0.0,22.2,12.8,4.7,0,,,,,
41,75-84,Never married,0.3,3.0,5.1,-4.4,4.7,0,,,,,
42,85-99,"Now married, spouse present",-7.4,4.0,-2.7,-12.1,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",-1.3,0.0,3.4,-6.0,4.7,0,,,,,
44,85-99,Widowed,17.2,14.0,21.9,12.5,4.7,0,,,,,
45,85-99,Divorced,0.2,3.0,4.9,-4.5,4.7,0,,,,,
46,85-99,Separated,7.8,1.0,12.5,3.1,4.7,0,,,,,
47,85-99,Never married,12.6,0.0,17.3,7.9,4.7,0,,,,,
48,15-24,"Now married, spouse present",10.8,4.0,13.1,8.4,2.4,1,5.2,4.0,0.5,9.9,4.7
49,15-24,"Now Married, spouse absent",2.0,2.0,4.4,-0.4,2.4,1,2.0,2.0,-2.7,6.8,4.7
50,15-24,Widowed,3.1,0.0,5.4,0.7,2.4,1,4.7,0.0,0.0,9.4,4.7
51,15-24,Divorced,-1.9,0.0,0.4,-4.3,2.4,1,-3.4,0.0,-8.1,1.3,4.7
52,15-24,Separated,0.9,0.0,3.3,-1.4,2.4,1,4.1,0.0,-0.7,8.8,4.7
53,15-24,Never married,141.8,137.0,144.2,139.5,2.4,1,139.3,137.0,134.6,144.0,4.7
54,25-34,"Now married, spouse present",53.8,47.0,56.2,51.5,2.4,1,59.4,47.0,54.7,64.1,4.7
55,25-34,"Now Married, spouse absent",0.5,6.0,2.8,-1.9,2.4,1,3.8,6.0,-0.9,8.5,4.7
56,25-34,Widowed,-2.0,0.0,0.4,-4.4,2.4,1,-9.6,0.0,-14.3,-4.9,4.7
57,25-34,Divorced,2.2,2.0,4.6,-0.1,2.4,1,3.1,2.0,-1.7,7.8,4.7
58,25-34,Separated,2.9,1.0,5.3,0.5,2.4,1,5.0,1.0,0.2,9.7,4.7
59,25-34,Never married,100.9,102.0,103.2,98.5,2.4,1,104.1,102.0,99.4,108.8,4.7
60,35-44,"Now married, spouse present",80.8,84.0,83.1,78.4,2.4,1,79.0,84.0,74.3,83.7,4.7
61,35-44,"Now Married, spouse absent",5.1,8.0,7.5,2.8,2.4,1,6.3,8.0,1.6,11.0,4.7
62,35-44,Widowed,2.3,0.0,4.6,-0.1,2.4,1,1.6,0.0,-3.2,6.3,4.7
63,35-44,Divorced,12.2,10.0,14.6,9.9,2.4,1,14.3,10.0,9.6,19.0,4.7
64,35-44,Separated,8.0,7.0,10.4,5.7,2.4,1,3.9,7.0,-0.8,8.6,4.7
65,35-44,Never married,45.1,43.0,47.5,42.8,2.4,1,44.3,43.0,39.5,49.0,4.7
66,45-54,"Now married, spouse present",78.1,82.0,80.4,75.7,2.4,1,80.8,82.0,76.1,85.5,4.7
