,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,2.7,0.0,7.4,-2.0,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,230.5,233.0,235.2,225.8,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,91.5,88.0,96.2,86.8,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,48.9,40.0,53.7,44.2,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,35.7,26.0,40.4,31.0,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,8.7,9.0,13.4,4.0,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,7.8,7.0,12.5,3.1,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,10.7,8.0,15.4,6.0,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,4.1,3.0,8.8,-0.6,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,5.0,3.0,9.7,0.2,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,1.1,10.0,5.9,-3.6,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,-6.2,1.0,-1.4,-10.9,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,20.2,16.0,24.9,15.5,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,5.0,6.0,9.7,0.3,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,4.5,3.0,9.2,-0.2,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-1.2,1.0,3.5,-5.9,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-12.2,1.0,-7.5,-17.0,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,7.6,0.0,12.3,2.9,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
22,Widowed,$-9k-$-1k,-9.2,0.0,-4.5,-13.9,4.7,0,,,,,
23,Widowed,$0k-$49k,36.2,43.0,40.9,31.5,4.7,0,,,,,
24,Widowed,$50k-$99k,12.0,11.0,16.7,7.3,4.7,0,,,,,
25,Widowed,$100k-$149k,6.6,2.0,11.3,1.9,4.7,0,,,,,
26,Widowed,$150k-$199k,-12.5,1.0,-7.8,-17.2,4.7,0,,,,,
27,Widowed,$200k-$249k,3.3,1.0,8.0,-1.4,4.7,0,,,,,
28,Widowed,$250k-$299k,3.3,0.0,8.0,-1.4,4.7,0,,,,,
29,Widowed,$300k-$349k,-4.3,2.0,0.4,-9.0,4.7,0,,,,,
30,Widowed,$350k-$399k,1.3,0.0,6.0,-3.5,4.7,0,,,,,
31,Widowed,$400k-$449k,0.1,0.0,4.8,-4.7,4.7,0,,,,,
32,Widowed,$450k-$1499k,-0.1,0.0,4.6,-4.9,4.7,0,,,,,
33,Divorced,$-9k-$-1k,-34.4,1.0,-29.7,-39.2,4.7,0,,,,,
34,Divorced,$0k-$49k,69.6,72.0,74.4,64.9,4.7,0,,,,,
