,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,0.1,0.0,4.8,-4.6,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,216.6,214.0,221.3,211.9,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,90.5,86.0,95.2,85.8,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,39.2,53.0,43.9,34.5,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,26.4,28.0,31.1,21.7,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,19.2,11.0,23.9,14.5,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,8.1,8.0,12.8,3.4,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,3.5,5.0,8.2,-1.2,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,3.3,3.0,8.0,-1.4,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,0.3,3.0,5.0,-4.4,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,16.2,13.0,20.9,11.5,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,0.3,0.0,5.0,-4.4,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,6.2,21.0,10.9,1.5,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,6.4,5.0,11.1,1.7,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,0.1,3.0,4.8,-4.6,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,7.7,1.0,12.4,3.0,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,3.3,1.0,8.1,-1.4,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,2.5,0.0,7.2,-2.2,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,5.5,1.0,10.2,0.8,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,-5.0,0.0,-0.3,-9.8,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-0.7,1.0,4.0,-5.4,4.7,0,,,,,
22,Widowed,$-9k-$-1k,1.4,0.0,6.1,-3.3,4.7,0,,,,,
23,Widowed,$0k-$49k,45.8,48.0,50.5,41.1,4.7,0,,,,,
24,Widowed,$50k-$99k,11.7,10.0,16.4,7.0,4.7,0,,,,,
25,Widowed,$100k-$149k,4.3,3.0,9.0,-0.5,4.7,0,,,,,
26,Widowed,$150k-$199k,-2.4,1.0,2.3,-7.1,4.7,0,,,,,
27,Widowed,$200k-$249k,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
28,Widowed,$250k-$299k,6.0,1.0,10.7,1.3,4.7,0,,,,,
29,Widowed,$300k-$349k,-6.0,0.0,-1.3,-10.7,4.7,0,,,,,
30,Widowed,$350k-$399k,2.3,0.0,7.0,-2.4,4.7,0,,,,,
31,Widowed,$400k-$449k,-5.9,1.0,-1.2,-10.7,4.7,0,,,,,
32,Widowed,$450k-$1499k,2.1,0.0,6.8,-2.6,4.7,0,,,,,
33,Divorced,$-9k-$-1k,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
34,Divorced,$0k-$49k,78.5,65.0,83.3,73.8,4.7,0,,,,,
35,Divorced,$50k-$99k,17.7,18.0,22.4,13.0,4.7,0,,,,,
36,Divorced,$100k-$149k,3.8,7.0,8.5,-0.9,4.7,0,,,,,
37,Divorced,$150k-$199k,1.8,3.0,6.5,-2.9,4.7,0,,,,,
38,Divorced,$200k-$249k,2.9,1.0,7.6,-1.8,4.7,0,,,,,
39,Divorced,$250k-$299k,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
40,Divorced,$300k-$349k,-6.6,1.0,-1.9,-11.3,4.7,0,,,,,
41,Divorced,$350k-$399k,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
42,Divorced,$400k-$449k,20.1,0.0,24.8,15.4,4.7,0,,,,,
43,Divorced,$450k-$1499k,-1.8,0.0,2.9,-6.6,4.7,0,,,,,
44,Separated,$-9k-$-1k,2.1,0.0,6.8,-2.6,4.7,0,,,,,
45,Separated,$0k-$49k,27.3,20.0,32.0,22.6,4.7,0,,,,,
46,Separated,$50k-$99k,-1.5,2.0,3.2,-6.2,4.7,0,,,,,
47,Separated,$100k-$149k,-1.9,1.0,2.9,-6.6,4.7,0,,,,,
48,Separated,$150k-$199k,-3.4,1.0,1.3,-8.1,4.7,0,,,,,
49,Separated,$200k-$249k,-2.9,0.0,1.8,-7.6,4.7,0,,,,,
50,Separated,$250k-$299k,15.8,0.0,20.6,11.1,4.7,0,,,,,
51,Separated,$300k-$349k,-2.4,0.0,2.4,-7.1,4.7,0,,,,,
52,Separated,$350k-$399k,-5.0,0.0,-0.3,-9.8,4.7,0,,,,,
53,Separated,$400k-$449k,0.0,0.0,4.7,-4.7,4.7,0,,,,,
54,Separated,$450k-$1499k,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
55,Never married,$-9k-$-1k,1.9,1.0,6.6,-2.8,4.7,0,,,,,
56,Never married,$0k-$49k,262.9,262.0,267.6,258.2,4.7,0,,,,,
57,Never married,$50k-$99k,59.0,63.0,63.7,54.3,4.7,0,,,,,
58,Never married,$100k-$149k,23.3,23.0,28.0,18.6,4.7,0,,,,,
59,Never married,$150k-$199k,1.3,6.0,6.0,-3.5,4.7,0,,,,,
60,Never married,$200k-$249k,0.1,4.0,4.8,-4.7,4.7,0,,,,,
61,Never married,$250k-$299k,-0.3,0.0,4.4,-5.1,4.7,0,,,,,
62,Never married,$300k-$349k,0.5,1.0,5.2,-4.2,4.7,0,,,,,
63,Never married,$350k-$399k,2.1,0.0,6.8,-2.6,4.7,0,,,,,
64,Never married,$400k-$449k,-6.4,0.0,-1.7,-11.1,4.7,0,,,,,
65,Never married,$450k-$1499k,-1.9,0.0,2.8,-6.7,4.7,0,,,,,
66,"Now married, spouse present",$-9k-$-1k,1.1,0.0,3.4,-1.3,2.4,1,0.1,0.0,-4.6,4.8,4.7
67,"Now married, spouse present",$0k-$49k,215.3,214.0,217.7,213.0,2.4,1,216.6,214.0,211.9,221.3,4.7
68,"Now married, spouse present",$50k-$99k,85.4,86.0,87.8,83.1,2.4,1,90.5,86.0,85.8,95.2,4.7
69,"Now married, spouse present",$100k-$149k,46.2,53.0,48.6,43.8,2.4,1,39.2,53.0,34.5,43.9,4.7
70,"Now married, spouse present",$150k-$199k,27.0,28.0,29.3,24.6,2.4,1,26.4,28.0,21.7,31.1,4.7
71,"Now married, spouse present",$200k-$249k,15.3,11.0,17.6,12.9,2.4,1,19.2,11.0,14.5,23.9,4.7
72,"Now married, spouse present",$250k-$299k,11.4,8.0,13.8,9.1,2.4,1,8.1,8.0,3.4,12.8,4.7
73,"Now married, spouse present",$300k-$349k,11.9,5.0,14.3,9.6,2.4,1,3.5,5.0,-1.2,8.2,4.7
74,"Now married, spouse present",$350k-$399k,3.8,3.0,6.1,1.4,2.4,1,3.3,3.0,-1.4,8.0,4.7
75,"Now married, spouse present",$400k-$449k,1.1,3.0,3.4,-1.3,2.4,1,0.3,3.0,-4.4,5.0,4.7
76,"Now married, spouse present",$450k-$1499k,14.4,13.0,16.7,12.0,2.4,1,16.2,13.0,11.5,20.9,4.7
77,"Now Married, spouse absent",$-9k-$-1k,0.6,0.0,3.0,-1.7,2.4,1,0.3,0.0,-4.4,5.0,4.7
78,"Now Married, spouse absent",$0k-$49k,10.9,21.0,13.2,8.5,2.4,1,6.2,21.0,1.5,10.9,4.7
79,"Now Married, spouse absent",$50k-$99k,6.3,5.0,8.7,4.0,2.4,1,6.4,5.0,1.7,11.1,4.7
80,"Now Married, spouse absent",$100k-$149k,6.2,3.0,8.5,3.8,2.4,1,0.1,3.0,-4.6,4.8,4.7
81,"Now Married, spouse absent",$150k-$199k,3.1,1.0,5.5,0.7,2.4,1,7.7,1.0,3.0,12.4,4.7
82,"Now Married, spouse absent",$200k-$249k,-0.9,0.0,1.5,-3.2,2.4,1,-1.0,0.0,-5.7,3.7,4.7
83,"Now Married, spouse absent",$250k-$299k,-0.8,1.0,1.5,-3.2,2.4,1,3.3,1.0,-1.4,8.1,4.7
84,"Now Married, spouse absent",$300k-$349k,3.0,0.0,5.3,0.6,2.4,1,2.5,0.0,-2.2,7.2,4.7
85,"Now Married, spouse absent",$350k-$399k,2.3,1.0,4.7,-0.0,2.4,1,5.5,1.0,0.8,10.2,4.7
86,"Now Married, spouse absent",$400k-$449k,-4.4,0.0,-2.0,-6.7,2.4,1,-5.0,0.0,-9.8,-0.3,4.7
87,"Now Married, spouse absent",$450k-$1499k,-1.7,1.0,0.6,-4.1,2.4,1,-0.7,1.0,-5.4,4.0,4.7
88,Widowed,$-9k-$-1k,-6.4,0.0,-4.0,-8.7,2.4,1,1.4,0.0,-3.3,6.1,4.7
89,Widowed,$0k-$49k,48.0,48.0,50.4,45.7,2.4,1,45.8,48.0,41.1,50.5,4.7
90,Widowed,$50k-$99k,12.9,10.0,15.3,10.6,2.4,1,11.7,10.0,7.0,16.4,4.7
91,Widowed,$100k-$149k,6.8,3.0,9.2,4.4,2.4,1,4.3,3.0,-0.5,9.0,4.7
92,Widowed,$150k-$199k,-1.5,1.0,0.8,-3.9,2.4,1,-2.4,1.0,-7.1,2.3,4.7
93,Widowed,$200k-$249k,-0.8,0.0,1.5,-3.2,2.4,1,-1.5,0.0,-6.2,3.2,4.7
94,Widowed,$250k-$299k,4.6,1.0,6.9,2.2,2.4,1,6.0,1.0,1.3,10.7,4.7
95,Widowed,$300k-$349k,-2.4,0.0,-0.0,-4.7,2.4,1,-6.0,0.0,-10.7,-1.3,4.7
96,Widowed,$350k-$399k,0.1,0.0,2.4,-2.3,2.4,1,2.3,0.0,-2.4,7.0,4.7
97,Widowed,$400k-$449k,-2.9,1.0,-0.5,-5.2,2.4,1,-5.9,1.0,-10.7,-1.2,4.7
98,Widowed,$450k-$1499k,3.8,0.0,6.2,1.5,2.4,1,2.1,0.0,-2.6,6.8,4.7
99,Divorced,$-9k-$-1k,-3.5,0.0,-1.1,-5.8,2.4,1,-0.7,0.0,-5.4,4.0,4.7
100,Divorced,$0k-$49k,70.3,65.0,72.6,67.9,2.4,1,78.5,65.0,73.8,83.3,4.7
101,Divorced,$50k-$99k,20.3,18.0,22.7,18.0,2.4,1,17.7,18.0,13.0,22.4,4.7
102,Divorced,$100k-$149k,5.1,7.0,7.4,2.7,2.4,1,3.8,7.0,-0.9,8.5,4.7
103,Divorced,$150k-$199k,0.9,3.0,3.3,-1.4,2.4,1,1.8,3.0,-2.9,6.5,4.7
104,Divorced,$200k-$249k,1.3,1.0,3.7,-1.0,2.4,1,2.9,1.0,-1.8,7.6,4.7
105,Divorced,$250k-$299k,-0.9,0.0,1.5,-3.2,2.4,1,-1.1,0.0,-5.8,3.6,4.7
106,Divorced,$300k-$349k,-1.6,1.0,0.8,-4.0,2.4,1,-6.6,1.0,-11.3,-1.9,4.7
107,Divorced,$350k-$399k,-3.0,0.0,-0.6,-5.3,2.4,1,-1.5,0.0,-6.2,3.2,4.7
108,Divorced,$400k-$449k,12.1,0.0,14.5,9.8,2.4,1,20.1,0.0,15.4,24.8,4.7
109,Divorced,$450k-$1499k,-1.4,0.0,1.0,-3.7,2.4,1,-1.8,0.0,-6.6,2.9,4.7
110,Separated,$-9k-$-1k,-1.2,0.0,1.2,-3.5,2.4,1,2.1,0.0,-2.6,6.8,4.7
111,Separated,$0k-$49k,22.6,20.0,25.0,20.3,2.4,1,27.3,20.0,22.6,32.0,4.7
