,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,1.4,1.0,6.1,-3.4,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,218.8,217.0,223.5,214.1,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,84.2,86.0,88.9,79.5,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,47.1,47.0,51.8,42.4,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,34.1,29.0,38.9,29.4,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,19.2,14.0,24.0,14.5,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,6.4,11.0,11.1,1.7,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,-0.9,2.0,3.8,-5.6,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,-4.6,3.0,0.1,-9.3,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,7.6,8.0,12.3,2.9,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,3.6,13.0,8.3,-1.1,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,1.2,0.0,5.9,-3.5,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,20.0,22.0,24.8,15.3,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,5.4,4.0,10.2,0.7,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,1.7,1.0,6.4,-3.0,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-10.1,0.0,-5.4,-14.8,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,1.4,1.0,6.1,-3.3,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-1.2,1.0,3.5,-5.9,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,-1.9,0.0,2.8,-6.6,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,1.6,0.0,6.3,-3.1,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
22,Widowed,$-9k-$-1k,0.3,0.0,5.0,-4.4,4.7,0,,,,,
23,Widowed,$0k-$49k,51.7,49.0,56.5,47.0,4.7,0,,,,,
24,Widowed,$50k-$99k,5.4,7.0,10.1,0.7,4.7,0,,,,,
25,Widowed,$100k-$149k,0.3,3.0,5.0,-4.4,4.7,0,,,,,
26,Widowed,$150k-$199k,0.2,1.0,4.9,-4.6,4.7,0,,,,,
