,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,4.0,0.0,8.7,-0.7,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,216.6,220.0,221.3,211.9,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,78.6,86.0,83.3,73.9,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,44.9,46.0,49.6,40.2,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,26.0,28.0,30.7,21.3,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,7.2,7.0,11.9,2.5,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,6.4,8.0,11.1,1.6,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,2.3,4.0,7.1,-2.4,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,-1.0,4.0,3.7,-5.7,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,-1.3,1.0,3.4,-6.0,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,14.0,8.0,18.7,9.3,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,1.9,0.0,6.6,-2.8,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,27.4,23.0,32.1,22.7,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,6.2,3.0,10.9,1.5,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,0.1,3.0,4.8,-4.6,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-2.7,1.0,2.1,-7.4,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,-7.9,0.0,-3.2,-12.6,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-8.5,0.0,-3.8,-13.2,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-2.1,1.0,2.7,-6.8,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,19.5,0.0,24.2,14.7,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,2.5,0.0,7.2,-2.3,4.7,0,,,,,
22,Widowed,$-9k-$-1k,0.1,0.0,4.8,-4.6,4.7,0,,,,,
23,Widowed,$0k-$49k,50.4,43.0,55.1,45.6,4.7,0,,,,,
24,Widowed,$50k-$99k,3.9,9.0,8.7,-0.8,4.7,0,,,,,
25,Widowed,$100k-$149k,3.8,4.0,8.5,-1.0,4.7,0,,,,,
26,Widowed,$150k-$199k,-2.2,2.0,2.5,-6.9,4.7,0,,,,,
27,Widowed,$200k-$249k,1.3,1.0,6.0,-3.4,4.7,0,,,,,
28,Widowed,$250k-$299k,-1.7,0.0,3.0,-6.4,4.7,0,,,,,
29,Widowed,$300k-$349k,0.3,0.0,5.0,-4.5,4.7,0,,,,,
30,Widowed,$350k-$399k,1.3,0.0,6.1,-3.4,4.7,0,,,,,
31,Widowed,$400k-$449k,-1.1,0.0,3.7,-5.8,4.7,0,,,,,
32,Widowed,$450k-$1499k,1.9,1.0,6.7,-2.8,4.7,0,,,,,
33,Divorced,$-9k-$-1k,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
34,Divorced,$0k-$49k,69.3,70.0,74.0,64.6,4.7,0,,,,,
35,Divorced,$50k-$99k,17.2,18.0,21.9,12.5,4.7,0,,,,,
36,Divorced,$100k-$149k,4.3,5.0,9.0,-0.4,4.7,0,,,,,
37,Divorced,$150k-$199k,-3.1,3.0,1.6,-7.8,4.7,0,,,,,
38,Divorced,$200k-$249k,-7.2,0.0,-2.5,-12.0,4.7,0,,,,,
39,Divorced,$250k-$299k,-4.2,2.0,0.5,-8.9,4.7,0,,,,,
40,Divorced,$300k-$349k,1.7,0.0,6.4,-3.1,4.7,0,,,,,
41,Divorced,$350k-$399k,-8.5,1.0,-3.8,-13.2,4.7,0,,,,,
42,Divorced,$400k-$449k,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
43,Divorced,$450k-$1499k,-2.4,2.0,2.3,-7.1,4.7,0,,,,,
44,Separated,$-9k-$-1k,1.1,0.0,5.8,-3.6,4.7,0,,,,,
45,Separated,$0k-$49k,13.6,14.0,18.3,8.9,4.7,0,,,,,
46,Separated,$50k-$99k,13.9,4.0,18.6,9.2,4.7,0,,,,,
47,Separated,$100k-$149k,-1.4,0.0,3.3,-6.1,4.7,0,,,,,
48,Separated,$150k-$199k,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
49,Separated,$200k-$249k,1.5,0.0,6.2,-3.2,4.7,0,,,,,
50,Separated,$250k-$299k,-0.2,1.0,4.5,-4.9,4.7,0,,,,,
51,Separated,$300k-$349k,2.6,0.0,7.3,-2.1,4.7,0,,,,,
52,Separated,$350k-$399k,2.9,0.0,7.6,-1.8,4.7,0,,,,,
53,Separated,$400k-$449k,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
54,Separated,$450k-$1499k,-1.1,1.0,3.6,-5.8,4.7,0,,,,,
55,Never married,$-9k-$-1k,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
56,Never married,$0k-$49k,257.6,263.0,262.3,252.8,4.7,0,,,,,
57,Never married,$50k-$99k,70.0,68.0,74.7,65.3,4.7,0,,,,,
58,Never married,$100k-$149k,25.7,26.0,30.4,21.0,4.7,0,,,,,
59,Never married,$150k-$199k,13.1,13.0,17.9,8.4,4.7,0,,,,,
