,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",1.5,2.0,6.3,-3.2,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",-8.9,1.0,-4.2,-13.6,4.7,0,,,,,
2,15-24,Widowed,0.3,0.0,5.1,-4.4,4.7,0,,,,,
3,15-24,Divorced,-0.5,0.0,4.3,-5.2,4.7,0,,,,,
4,15-24,Separated,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
5,15-24,Never married,138.6,140.0,143.3,133.9,4.7,0,,,,,
6,25-34,"Now married, spouse present",49.9,49.0,54.6,45.2,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",3.3,5.0,8.0,-1.4,4.7,0,,,,,
8,25-34,Widowed,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
9,25-34,Divorced,5.9,5.0,10.6,1.2,4.7,0,,,,,
10,25-34,Separated,2.2,2.0,6.9,-2.5,4.7,0,,,,,
11,25-34,Never married,109.6,114.0,114.3,104.9,4.7,0,,,,,
12,35-44,"Now married, spouse present",68.7,72.0,73.4,64.0,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",8.8,6.0,13.5,4.1,4.7,0,,,,,
14,35-44,Widowed,6.1,2.0,10.8,1.4,4.7,0,,,,,
15,35-44,Divorced,10.0,10.0,14.7,5.2,4.7,0,,,,,
16,35-44,Separated,7.9,4.0,12.7,3.2,4.7,0,,,,,
17,35-44,Never married,31.9,38.0,36.6,27.2,4.7,0,,,,,
18,45-54,"Now married, spouse present",79.2,86.0,83.9,74.5,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",5.5,6.0,10.2,0.8,4.7,0,,,,,
20,45-54,Widowed,-5.5,0.0,-0.8,-10.2,4.7,0,,,,,
21,45-54,Divorced,16.4,21.0,21.2,11.7,4.7,0,,,,,
22,45-54,Separated,5.7,5.0,10.4,1.0,4.7,0,,,,,
23,45-54,Never married,31.4,34.0,36.1,26.6,4.7,0,,,,,
24,55-64,"Now married, spouse present",74.3,77.0,79.0,69.6,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",4.8,6.0,9.5,0.1,4.7,0,,,,,
26,55-64,Widowed,10.8,11.0,15.5,6.1,4.7,0,,,,,
27,55-64,Divorced,31.0,34.0,35.7,26.3,4.7,0,,,,,
28,55-64,Separated,5.1,4.0,9.8,0.4,4.7,0,,,,,
29,55-64,Never married,26.9,27.0,31.6,22.2,4.7,0,,,,,
30,65-74,"Now married, spouse present",74.1,75.0,78.9,69.4,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",6.9,4.0,11.7,2.2,4.7,0,,,,,
32,65-74,Widowed,16.6,16.0,21.3,11.9,4.7,0,,,,,
33,65-74,Divorced,13.2,17.0,18.0,8.5,4.7,0,,,,,
34,65-74,Separated,5.7,4.0,10.4,1.0,4.7,0,,,,,
35,65-74,Never married,25.8,17.0,30.5,21.1,4.7,0,,,,,
36,75-84,"Now married, spouse present",45.0,40.0,49.7,40.3,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",1.7,3.0,6.4,-3.0,4.7,0,,,,,
38,75-84,Widowed,15.5,15.0,20.2,10.8,4.7,0,,,,,
39,75-84,Divorced,11.5,12.0,16.2,6.8,4.7,0,,,,,
40,75-84,Separated,0.5,1.0,5.3,-4.2,4.7,0,,,,,
41,75-84,Never married,5.7,3.0,10.4,1.0,4.7,0,,,,,
42,85-99,"Now married, spouse present",18.9,11.0,23.6,14.2,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",0.3,0.0,5.0,-4.4,4.7,0,,,,,
44,85-99,Widowed,10.0,16.0,14.7,5.3,4.7,0,,,,,
45,85-99,Divorced,1.0,2.0,5.7,-3.8,4.7,0,,,,,
46,85-99,Separated,4.0,0.0,8.7,-0.7,4.7,0,,,,,
47,85-99,Never married,2.3,3.0,7.0,-2.4,4.7,0,,,,,
48,15-24,"Now married, spouse present",-0.0,2.0,2.3,-2.4,2.4,1,1.5,2.0,-3.2,6.3,4.7
49,15-24,"Now Married, spouse absent",-4.8,1.0,-2.5,-7.2,2.4,1,-8.9,1.0,-13.6,-4.2,4.7
50,15-24,Widowed,0.3,0.0,2.6,-2.1,2.4,1,0.3,0.0,-4.4,5.1,4.7
51,15-24,Divorced,-0.8,0.0,1.6,-3.2,2.4,1,-0.5,0.0,-5.2,4.3,4.7
52,15-24,Separated,-4.3,0.0,-1.9,-6.6,2.4,1,-0.6,0.0,-5.3,4.1,4.7
53,15-24,Never married,145.0,140.0,147.3,142.6,2.4,1,138.6,140.0,133.9,143.3,4.7
54,25-34,"Now married, spouse present",49.5,49.0,51.8,47.1,2.4,1,49.9,49.0,45.2,54.6,4.7
55,25-34,"Now Married, spouse absent",3.4,5.0,5.8,1.1,2.4,1,3.3,5.0,-1.4,8.0,4.7
56,25-34,Widowed,-2.1,0.0,0.2,-4.5,2.4,1,-2.1,0.0,-6.8,2.6,4.7
57,25-34,Divorced,5.0,5.0,7.4,2.7,2.4,1,5.9,5.0,1.2,10.6,4.7
58,25-34,Separated,3.9,2.0,6.3,1.6,2.4,1,2.2,2.0,-2.5,6.9,4.7
59,25-34,Never married,112.9,114.0,115.2,110.5,2.4,1,109.6,114.0,104.9,114.3,4.7
60,35-44,"Now married, spouse present",64.3,72.0,66.6,61.9,2.4,1,68.7,72.0,64.0,73.4,4.7
61,35-44,"Now Married, spouse absent",8.9,6.0,11.3,6.6,2.4,1,8.8,6.0,4.1,13.5,4.7
62,35-44,Widowed,3.0,2.0,5.4,0.7,2.4,1,6.1,2.0,1.4,10.8,4.7
63,35-44,Divorced,10.3,10.0,12.6,7.9,2.4,1,10.0,10.0,5.2,14.7,4.7
64,35-44,Separated,1.0,4.0,3.4,-1.3,2.4,1,7.9,4.0,3.2,12.7,4.7
65,35-44,Never married,35.6,38.0,37.9,33.2,2.4,1,31.9,38.0,27.2,36.6,4.7
66,45-54,"Now married, spouse present",82.6,86.0,85.0,80.2,2.4,1,79.2,86.0,74.5,83.9,4.7
67,45-54,"Now Married, spouse absent",5.4,6.0,7.8,3.1,2.4,1,5.5,6.0,0.8,10.2,4.7
