,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",6.0,2.0,10.7,1.3,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",-2.4,1.0,2.3,-7.1,4.7,0,,,,,
2,15-24,Widowed,-7.4,0.0,-2.7,-12.1,4.7,0,,,,,
3,15-24,Divorced,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
4,15-24,Separated,-2.0,0.0,2.7,-6.7,4.7,0,,,,,
5,15-24,Never married,140.2,140.0,144.9,135.5,4.7,0,,,,,
6,25-34,"Now married, spouse present",47.3,49.0,52.1,42.6,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",0.0,5.0,4.7,-4.7,4.7,0,,,,,
8,25-34,Widowed,-2.3,0.0,2.4,-7.0,4.7,0,,,,,
9,25-34,Divorced,11.0,5.0,15.7,6.3,4.7,0,,,,,
10,25-34,Separated,-0.1,2.0,4.6,-4.8,4.7,0,,,,,
11,25-34,Never married,115.9,114.0,120.6,111.2,4.7,0,,,,,
12,35-44,"Now married, spouse present",75.2,72.0,79.9,70.5,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",3.1,6.0,7.8,-1.6,4.7,0,,,,,
14,35-44,Widowed,-1.7,2.0,3.1,-6.4,4.7,0,,,,,
15,35-44,Divorced,2.1,10.0,6.8,-2.6,4.7,0,,,,,
16,35-44,Separated,-4.5,4.0,0.2,-9.2,4.7,0,,,,,
17,35-44,Never married,34.9,38.0,39.7,30.2,4.7,0,,,,,
18,45-54,"Now married, spouse present",85.0,86.0,89.7,80.3,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",8.5,6.0,13.2,3.7,4.7,0,,,,,
20,45-54,Widowed,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
21,45-54,Divorced,21.1,21.0,25.8,16.4,4.7,0,,,,,
22,45-54,Separated,12.4,5.0,17.1,7.6,4.7,0,,,,,
23,45-54,Never married,28.9,34.0,33.7,24.2,4.7,0,,,,,
24,55-64,"Now married, spouse present",72.8,77.0,77.5,68.1,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",6.3,6.0,11.0,1.6,4.7,0,,,,,
26,55-64,Widowed,9.3,11.0,14.0,4.6,4.7,0,,,,,
27,55-64,Divorced,34.3,34.0,39.0,29.5,4.7,0,,,,,
28,55-64,Separated,5.3,4.0,10.1,0.6,4.7,0,,,,,
29,55-64,Never married,25.9,27.0,30.7,21.2,4.7,0,,,,,
30,65-74,"Now married, spouse present",76.1,75.0,80.8,71.4,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",3.4,4.0,8.1,-1.3,4.7,0,,,,,
32,65-74,Widowed,15.3,16.0,20.0,10.6,4.7,0,,,,,
33,65-74,Divorced,16.2,17.0,20.9,11.5,4.7,0,,,,,
34,65-74,Separated,3.3,4.0,8.0,-1.4,4.7,0,,,,,
35,65-74,Never married,10.9,17.0,15.6,6.2,4.7,0,,,,,
36,75-84,"Now married, spouse present",33.8,40.0,38.5,29.1,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",4.7,3.0,9.4,-0.1,4.7,0,,,,,
38,75-84,Widowed,5.5,15.0,10.2,0.8,4.7,0,,,,,
39,75-84,Divorced,12.0,12.0,16.7,7.3,4.7,0,,,,,
40,75-84,Separated,-3.4,1.0,1.3,-8.1,4.7,0,,,,,
41,75-84,Never married,-6.3,3.0,-1.6,-11.0,4.7,0,,,,,
42,85-99,"Now married, spouse present",10.6,11.0,15.3,5.9,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",9.9,0.0,14.6,5.2,4.7,0,,,,,
44,85-99,Widowed,14.6,16.0,19.3,9.9,4.7,0,,,,,
45,85-99,Divorced,-1.1,2.0,3.6,-5.8,4.7,0,,,,,
46,85-99,Separated,1.5,0.0,6.2,-3.2,4.7,0,,,,,
47,85-99,Never married,1.8,3.0,6.5,-2.9,4.7,0,,,,,
48,15-24,"Now married, spouse present",3.9,2.0,6.2,1.5,2.4,1,6.0,2.0,1.3,10.7,4.7
49,15-24,"Now Married, spouse absent",-0.6,1.0,1.7,-3.0,2.4,1,-2.4,1.0,-7.1,2.3,4.7
50,15-24,Widowed,-2.9,0.0,-0.6,-5.3,2.4,1,-7.4,0.0,-12.1,-2.7,4.7
51,15-24,Divorced,-0.8,0.0,1.5,-3.2,2.4,1,-1.1,0.0,-5.8,3.6,4.7
52,15-24,Separated,-0.6,0.0,1.7,-3.0,2.4,1,-2.0,0.0,-6.7,2.7,4.7
53,15-24,Never married,141.8,140.0,144.2,139.5,2.4,1,140.2,140.0,135.5,144.9,4.7
54,25-34,"Now married, spouse present",50.7,49.0,53.0,48.3,2.4,1,47.3,49.0,42.6,52.1,4.7
55,25-34,"Now Married, spouse absent",1.1,5.0,3.5,-1.2,2.4,1,0.0,5.0,-4.7,4.7,4.7
56,25-34,Widowed,-3.7,0.0,-1.4,-6.1,2.4,1,-2.3,0.0,-7.0,2.4,4.7
57,25-34,Divorced,1.8,5.0,4.1,-0.6,2.4,1,11.0,5.0,6.3,15.7,4.7
58,25-34,Separated,3.9,2.0,6.3,1.6,2.4,1,-0.1,2.0,-4.8,4.6,4.7
59,25-34,Never married,115.5,114.0,117.8,113.1,2.4,1,115.9,114.0,111.2,120.6,4.7
60,35-44,"Now married, spouse present",73.8,72.0,76.1,71.4,2.4,1,75.2,72.0,70.5,79.9,4.7
61,35-44,"Now Married, spouse absent",7.6,6.0,10.0,5.3,2.4,1,3.1,6.0,-1.6,7.8,4.7
62,35-44,Widowed,2.5,2.0,4.9,0.1,2.4,1,-1.7,2.0,-6.4,3.1,4.7
63,35-44,Divorced,3.8,10.0,6.1,1.4,2.4,1,2.1,10.0,-2.6,6.8,4.7
64,35-44,Separated,-1.1,4.0,1.3,-3.4,2.4,1,-4.5,4.0,-9.2,0.2,4.7
