,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",1.1,5.0,5.8,-3.6,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",4.2,2.0,8.9,-0.5,4.7,0,,,,,
2,15-24,Widowed,-2.1,0.0,2.6,-6.9,4.7,0,,,,,
3,15-24,Divorced,0.2,0.0,4.9,-4.5,4.7,0,,,,,
4,15-24,Separated,-11.8,0.0,-7.1,-16.5,4.7,0,,,,,
5,15-24,Never married,122.1,116.0,126.8,117.3,4.7,0,,,,,
6,25-34,"Now married, spouse present",34.0,43.0,38.7,29.3,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",10.2,2.0,14.9,5.5,4.7,0,,,,,
8,25-34,Widowed,-4.3,0.0,0.4,-9.0,4.7,0,,,,,
9,25-34,Divorced,2.1,4.0,6.8,-2.6,4.7,0,,,,,
10,25-34,Separated,0.8,0.0,5.5,-3.9,4.7,0,,,,,
11,25-34,Never married,125.3,118.0,130.0,120.6,4.7,0,,,,,
12,35-44,"Now married, spouse present",61.0,79.0,65.7,56.3,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",10.1,10.0,14.9,5.4,4.7,0,,,,,
14,35-44,Widowed,0.4,0.0,5.1,-4.3,4.7,0,,,,,
15,35-44,Divorced,12.9,13.0,17.6,8.2,4.7,0,,,,,
16,35-44,Separated,5.6,3.0,10.3,0.8,4.7,0,,,,,
17,35-44,Never married,36.2,40.0,40.9,31.5,4.7,0,,,,,
18,45-54,"Now married, spouse present",80.4,91.0,85.1,75.7,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",1.6,6.0,6.4,-3.1,4.7,0,,,,,
20,45-54,Widowed,-1.9,3.0,2.9,-6.6,4.7,0,,,,,
21,45-54,Divorced,14.4,16.0,19.1,9.7,4.7,0,,,,,
22,45-54,Separated,10.4,9.0,15.1,5.7,4.7,0,,,,,
23,45-54,Never married,33.8,34.0,38.5,29.1,4.7,0,,,,,
24,55-64,"Now married, spouse present",85.2,87.0,89.9,80.5,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",5.1,3.0,9.8,0.4,4.7,0,,,,,
26,55-64,Widowed,12.7,11.0,17.4,8.0,4.7,0,,,,,
27,55-64,Divorced,31.6,33.0,36.3,26.9,4.7,0,,,,,
28,55-64,Separated,0.7,2.0,5.4,-4.1,4.7,0,,,,,
29,55-64,Never married,29.4,19.0,34.1,24.7,4.7,0,,,,,
30,65-74,"Now married, spouse present",95.7,88.0,100.4,91.0,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",5.6,3.0,10.3,0.8,4.7,0,,,,,
32,65-74,Widowed,15.5,12.0,20.2,10.8,4.7,0,,,,,
33,65-74,Divorced,33.3,34.0,38.0,28.6,4.7,0,,,,,
34,65-74,Separated,1.7,2.0,6.4,-3.1,4.7,0,,,,,
35,65-74,Never married,16.3,17.0,21.0,11.5,4.7,0,,,,,
36,75-84,"Now married, spouse present",28.5,32.0,33.3,23.8,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",9.6,1.0,14.4,4.9,4.7,0,,,,,
38,75-84,Widowed,18.4,19.0,23.1,13.7,4.7,0,,,,,
39,75-84,Divorced,6.5,7.0,11.2,1.7,4.7,0,,,,,
40,75-84,Separated,0.7,1.0,5.5,-4.0,4.7,0,,,,,
41,75-84,Never married,7.0,8.0,11.7,2.3,4.7,0,,,,,
42,85-99,"Now married, spouse present",-2.8,6.0,1.9,-7.6,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",-3.9,2.0,0.8,-8.6,4.7,0,,,,,
44,85-99,Widowed,18.1,16.0,22.8,13.4,4.7,0,,,,,
45,85-99,Divorced,4.1,3.0,8.8,-0.7,4.7,0,,,,,
46,85-99,Separated,-9.6,0.0,-4.9,-14.3,4.7,0,,,,,
47,85-99,Never married,-1.7,0.0,3.0,-6.4,4.7,0,,,,,
48,15-24,"Now married, spouse present",2.1,5.0,4.4,-0.3,2.4,1,1.1,5.0,-3.6,5.8,4.7
49,15-24,"Now Married, spouse absent",3.6,2.0,6.0,1.3,2.4,1,4.2,2.0,-0.5,8.9,4.7
50,15-24,Widowed,-1.1,0.0,1.3,-3.5,2.4,1,-2.1,0.0,-6.9,2.6,4.7
51,15-24,Divorced,0.1,0.0,2.5,-2.2,2.4,1,0.2,0.0,-4.5,4.9,4.7
52,15-24,Separated,-6.0,0.0,-3.7,-8.4,2.4,1,-11.8,0.0,-16.5,-7.1,4.7
53,15-24,Never married,121.6,116.0,124.0,119.3,2.4,1,122.1,116.0,117.3,126.8,4.7
54,25-34,"Now married, spouse present",38.9,43.0,41.2,36.5,2.4,1,34.0,43.0,29.3,38.7,4.7
55,25-34,"Now Married, spouse absent",5.9,2.0,8.2,3.5,2.4,1,10.2,2.0,5.5,14.9,4.7
56,25-34,Widowed,-2.2,0.0,0.1,-4.6,2.4,1,-4.3,0.0,-9.0,0.4,4.7
57,25-34,Divorced,5.6,4.0,7.9,3.2,2.4,1,2.1,4.0,-2.6,6.8,4.7
58,25-34,Separated,-1.1,0.0,1.3,-3.4,2.4,1,0.8,0.0,-3.9,5.5,4.7
59,25-34,Never married,125.3,118.0,127.7,123.0,2.4,1,125.3,118.0,120.6,130.0,4.7
60,35-44,"Now married, spouse present",70.4,79.0,72.7,68.0,2.4,1,61.0,79.0,56.3,65.7,4.7
61,35-44,"Now Married, spouse absent",5.4,10.0,7.8,3.1,2.4,1,10.1,10.0,5.4,14.9,4.7
62,35-44,Widowed,0.9,0.0,3.2,-1.5,2.4,1,0.4,0.0,-4.3,5.1,4.7
63,35-44,Divorced,13.5,13.0,15.8,11.1,2.4,1,12.9,13.0,8.2,17.6,4.7
64,35-44,Separated,6.4,3.0,8.8,4.1,2.4,1,5.6,3.0,0.8,10.3,4.7
65,35-44,Never married,41.7,40.0,44.0,39.3,2.4,1,36.2,40.0,31.5,40.9,4.7
66,45-54,"Now married, spouse present",86.4,91.0,88.8,84.0,2.4,1,80.4,91.0,75.7,85.1,4.7
67,45-54,"Now Married, spouse absent",7.0,6.0,9.3,4.6,2.4,1,1.6,6.0,-3.1,6.4,4.7
68,45-54,Widowed,1.0,3.0,3.4,-1.3,2.4,1,-1.9,3.0,-6.6,2.9,4.7
69,45-54,Divorced,14.5,16.0,16.8,12.1,2.4,1,14.4,16.0,9.7,19.1,4.7
70,45-54,Separated,9.0,9.0,11.3,6.6,2.4,1,10.4,9.0,5.7,15.1,4.7
71,45-54,Never married,33.0,34.0,35.4,30.6,2.4,1,33.8,34.0,29.1,38.5,4.7
72,55-64,"Now married, spouse present",85.7,87.0,88.1,83.4,2.4,1,85.2,87.0,80.5,89.9,4.7
73,55-64,"Now Married, spouse absent",7.8,3.0,10.1,5.4,2.4,1,5.1,3.0,0.4,9.8,4.7
74,55-64,Widowed,14.0,11.0,16.3,11.6,2.4,1,12.7,11.0,8.0,17.4,4.7
75,55-64,Divorced,33.1,33.0,35.4,30.7,2.4,1,31.6,33.0,26.9,36.3,4.7
76,55-64,Separated,-7.0,2.0,-4.7,-9.4,2.4,1,0.7,2.0,-4.1,5.4,4.7
77,55-64,Never married,26.9,19.0,29.3,24.5,2.4,1,29.4,19.0,24.7,34.1,4.7
78,65-74,"Now married, spouse present",84.5,88.0,86.8,82.1,2.4,1,95.7,88.0,91.0,100.4,4.7
79,65-74,"Now Married, spouse absent",4.8,3.0,7.2,2.5,2.4,1,5.6,3.0,0.8,10.3,4.7
80,65-74,Widowed,13.3,12.0,15.7,11.0,2.4,1,15.5,12.0,10.8,20.2,4.7
81,65-74,Divorced,34.0,34.0,36.4,31.7,2.4,1,33.3,34.0,28.6,38.0,4.7
82,65-74,Separated,2.2,2.0,4.6,-0.1,2.4,1,1.7,2.0,-3.1,6.4,4.7
83,65-74,Never married,17.0,17.0,19.4,14.6,2.4,1,16.3,17.0,11.5,21.0,4.7
84,75-84,"Now married, spouse present",27.0,32.0,29.4,24.6,2.4,1,28.5,32.0,23.8,33.3,4.7
85,75-84,"Now Married, spouse absent",6.9,1.0,9.2,4.5,2.4,1,9.6,1.0,4.9,14.4,4.7
86,75-84,Widowed,21.6,19.0,23.9,19.2,2.4,1,18.4,19.0,13.7,23.1,4.7
87,75-84,Divorced,5.2,7.0,7.5,2.8,2.4,1,6.5,7.0,1.7,11.2,4.7
88,75-84,Separated,-0.6,1.0,1.8,-2.9,2.4,1,0.7,1.0,-4.0,5.5,4.7
89,75-84,Never married,7.0,8.0,9.4,4.7,2.4,1,7.0,8.0,2.3,11.7,4.7
