,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",5.7,3.0,10.4,1.0,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",-1.5,1.0,3.2,-6.2,4.7,0,,,,,
2,15-24,Widowed,4.5,1.0,9.2,-0.2,4.7,0,,,,,
3,15-24,Divorced,8.9,0.0,13.7,4.2,4.7,0,,,,,
4,15-24,Separated,10.7,1.0,15.4,6.0,4.7,0,,,,,
5,15-24,Never married,142.7,143.0,147.4,138.0,4.7,0,,,,,
6,25-34,"Now married, spouse present",47.7,45.0,52.4,43.0,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",3.1,2.0,7.8,-1.6,4.7,0,,,,,
8,25-34,Widowed,2.0,0.0,6.7,-2.8,4.7,0,,,,,
9,25-34,Divorced,-1.9,7.0,2.9,-6.6,4.7,0,,,,,
10,25-34,Separated,-0.7,1.0,4.0,-5.4,4.7,0,,,,,
11,25-34,Never married,90.8,98.0,95.6,86.1,4.7,0,,,,,
12,35-44,"Now married, spouse present",86.0,87.0,90.7,81.3,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",7.5,6.0,12.2,2.8,4.7,0,,,,,
14,35-44,Widowed,-2.2,0.0,2.5,-6.9,4.7,0,,,,,
15,35-44,Divorced,9.8,11.0,14.5,5.1,4.7,0,,,,,
16,35-44,Separated,-10.2,3.0,-5.5,-15.0,4.7,0,,,,,
17,35-44,Never married,37.9,39.0,42.6,33.2,4.7,0,,,,,
18,45-54,"Now married, spouse present",74.2,77.0,78.9,69.5,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",2.5,4.0,7.2,-2.2,4.7,0,,,,,
20,45-54,Widowed,10.0,4.0,14.7,5.3,4.7,0,,,,,
21,45-54,Divorced,9.8,19.0,14.5,5.1,4.7,0,,,,,
22,45-54,Separated,-0.8,6.0,3.9,-5.5,4.7,0,,,,,
23,45-54,Never married,28.0,27.0,32.7,23.3,4.7,0,,,,,
24,55-64,"Now married, spouse present",85.5,99.0,90.2,80.8,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",11.3,9.0,16.0,6.6,4.7,0,,,,,
26,55-64,Widowed,13.3,10.0,18.0,8.6,4.7,0,,,,,
27,55-64,Divorced,26.7,33.0,31.4,22.0,4.7,0,,,,,
28,55-64,Separated,4.3,3.0,9.0,-0.5,4.7,0,,,,,
29,55-64,Never married,18.1,18.0,22.8,13.3,4.7,0,,,,,
30,65-74,"Now married, spouse present",88.1,80.0,92.8,83.4,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",-32.4,3.0,-27.7,-37.2,4.7,0,,,,,
32,65-74,Widowed,14.6,17.0,19.4,9.9,4.7,0,,,,,
33,65-74,Divorced,22.8,21.0,27.6,18.1,4.7,0,,,,,
34,65-74,Separated,4.6,6.0,9.3,-0.2,4.7,0,,,,,
35,65-74,Never married,20.0,22.0,24.7,15.3,4.7,0,,,,,
36,75-84,"Now married, spouse present",37.0,31.0,41.8,32.3,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",-0.4,2.0,4.3,-5.1,4.7,0,,,,,
38,75-84,Widowed,14.7,15.0,19.4,10.0,4.7,0,,,,,
